Token Name,Type,Total SOL Balance,Total USD Investment,Total Token Balance,Profit (SOL),Profit (USD), ROI
neo,Profit,-2.07271827,-286.99275766,,-2.07271827,-286.99275766,-100.00 %
CFSM,Buy,5.45323258,755.06559722,1984067.16257900,,,
CFSM,Sell,0.00000000,0.00000000,0.00000000,,,
CFSM,Profit,-5.45323258,-755.06559722,,-5.45323258,-755.06559722,-100.00 %
FUKU,Buy,5.20684427,720.95017391,2801747.82002800,,,
FUKU,Sell,10.00000000,1384.62019704,2801747.82002800,,,
FUKU,Profit,4.79315573,663.67002313,,4.79315573,663.67002313,92.05 %
Spurdo,Buy,2.16664869,299.99855402,7225843.82562500,,,
Spurdo,Sell,10.00000000,1384.62019704,7225843.82562500,,,
Spurdo,Profit,7.83335131,1084.62164302,,7.83335131,1084.62164302,361.54 %
Win Rate,,,,,,19 / 33,57.58%
Total Invested,,,,,,,34185.92 USD
Total Return,,,,,,,-5108.90 USD
